bachelor_percentage,mca_percentage,backlogs,communication_score,aptitude_score,coding_skills,internship_done,projects_done,placed
79.9,92.6,0,5.9,8.6,8.6,1,3,1
55.3,60.5,0,7.2,7.7,8.0,1,2,1
72.5,64.4,1,7.5,6.9,6.2,1,3,1
46.5,49.4,0,4.6,4.9,5.2,0,3,0
54.1,52.8,1,4.9,5.7,6.1,0,2,1
72.4,78.6,1,7.6,8.8,8.4,1,2,0
78.9,76.9,0,7.8,7.8,7.8,0,3,1
72.1,73.5,0,8.3,7.5,7.7,1,2,1
68.6,73.1,0,7.0,7.5,9.7,0,1,1
66.4,72.7,0,6.8,6.8,7.2,1,2,1
52.3,48.3,0,4.9,4.8,5.0,1,4,1
61.4,61.7,0,6.1,6.3,7.2,1,4,1
64.5,64.1,0,6.8,7.5,7.5,0,4,1
82.7,81.4,1,6.6,7.2,9.3,1,3,1
74.1,85.0,0,6.1,7.5,9.1,1,3,1
48.8,52.9,1,5.6,4.2,4.1,1,1,0
73.9,69.6,0,7.6,8.6,8.6,1,4,1
65.4,72.0,2,6.4,5.0,6.1,1,2,1
61.9,74.5,2,6.2,5.6,7.8,0,2,0
77.3,84.5,0,8.1,8.1,7.7,1,2,1
82.4,76.8,2,7.7,9.8,7.6,0,6,1
81.2,80.8,0,7.3,8.1,8.4,0,1,1
59.9,68.3,0,6.2,5.4,7.1,0,2,0
66.3,64.8,1,5.7,8.5,6.9,0,2,0
74.0,78.2,0,7.8,5.9,9.4,0,2,1
81.7,87.6,1,6.5,6.0,9.2,0,5,0
64.2,61.6,0,7.5,6.9,5.9,1,3,1
67.8,69.5,0,7.2,6.3,7.9,1,1,1
56.7,42.5,2,5.9,4.7,5.4,1,3,0
55.6,52.5,1,6.5,6.3,4.0,1,5,0
79.8,80.5,0,9.6,8.2,8.6,0,4,1
86.3,82.0,1,9.6,8.1,8.9,1,4,1
69.1,79.3,0,5.1,5.6,7.6,1,5,1
82.0,76.9,0,6.9,9.1,9.1,0,2,1
74.3,74.1,0,6.8,8.1,7.3,1,3,0
62.3,64.9,0,6.3,6.1,6.6,0,2,1
74.3,83.5,0,8.0,9.3,8.2,1,8,1
88.5,83.3,0,8.1,7.8,8.3,1,3,1
69.6,77.4,0,7.1,5.4,6.6,0,4,1
88.8,90.8,2,8.1,8.2,7.6,0,5,1
40.0,40.0,1,3.4,4.0,5.6,1,4,0
79.9,84.2,0,6.6,8.2,7.6,1,3,0
71.0,74.0,1,6.2,6.9,6.4,0,3,0
66.4,65.4,1,5.3,7.0,4.4,1,1,1
71.1,73.5,0,6.1,5.9,6.7,0,4,0
46.1,46.2,0,5.7,6.1,3.3,1,4,0
67.4,69.9,0,5.8,6.7,8.6,1,3,0
74.3,79.6,1,10.0,8.5,9.0,0,2,1
87.7,97.7,0,9.3,9.1,9.1,0,5,1
63.8,59.6,2,6.6,6.8,8.2,0,1,1
60.3,73.0,0,5.2,6.6,8.3,0,7,1
64.0,56.2,0,7.1,6.8,5.3,0,3,1
81.0,82.2,0,7.5,8.7,5.7,1,4,1
73.9,78.9,0,7.5,8.7,10.0,0,2,1
63.6,67.0,0,8.9,6.6,5.3,1,0,0
76.2,75.0,0,7.5,8.3,5.9,1,4,1
71.2,72.1,0,8.3,7.0,8.2,1,3,1
81.6,81.2,1,7.5,9.6,10.0,1,4,0
61.6,60.6,1,6.1,5.5,7.4,0,3,0
66.1,72.3,1,8.4,8.4,7.8,1,1,0
65.3,69.1,0,5.9,6.5,7.5,1,0,0
52.4,51.0,3,7.1,3.8,6.0,1,3,0
73.6,80.1,0,8.1,7.5,8.8,0,2,0
73.1,76.7,2,6.8,6.6,7.9,1,6,1
70.1,76.1,1,7.6,7.8,7.7,1,2,1
67.2,72.3,1,7.7,6.1,7.2,0,4,1
53.0,50.9,0,5.9,4.9,4.3,0,3,1
65.0,64.2,0,4.9,4.6,6.1,1,7,1
65.9,71.6,1,5.9,6.1,5.5,1,5,1
60.4,65.4,0,5.8,3.6,6.4,1,4,0
68.1,70.0,1,6.7,5.2,6.0,1,1,1
74.8,77.4,1,8.1,8.2,6.6,0,6,1
92.6,100.0,1,9.4,10.0,10.0,1,1,1
72.1,71.1,0,5.9,7.6,8.5,1,2,1
73.1,77.8,0,7.7,6.3,8.7,0,1,1
69.1,70.1,0,7.5,6.9,5.4,0,3,1
47.0,47.9,0,5.3,4.7,3.8,1,2,1
69.7,77.2,1,8.0,5.8,8.7,0,1,1
70.7,76.8,1,7.9,8.6,6.7,1,0,0
99.6,100.0,2,10.0,10.0,9.8,0,1,1
67.7,76.2,1,6.7,6.5,8.2,0,1,1
73.6,75.7,0,5.7,7.4,6.6,0,5,0
69.6,75.0,3,7.4,7.2,7.6,1,2,0
56.0,56.4,2,5.8,3.6,4.3,1,6,1
83.7,87.3,0,8.6,8.1,8.1,1,2,1
79.0,80.4,1,6.6,7.2,8.4,1,5,1
79.5,82.0,1,6.9,6.9,6.6,0,2,1
59.1,64.1,1,7.0,5.6,6.8,1,1,1
86.8,84.7,0,8.6,10.0,8.5,1,1,1
53.2,65.6,0,6.0,6.0,7.1,1,2,0
77.0,74.0,2,7.7,7.1,7.6,0,3,1
96.3,92.2,0,9.7,10.0,10.0,1,2,1
58.1,65.9,1,6.7,7.2,6.7,0,1,1
63.2,69.2,1,5.8,7.2,6.5,0,5,0
71.2,76.3,0,7.2,7.2,7.8,1,5,1
64.0,69.1,1,5.9,5.7,7.5,1,2,1
51.4,53.3,1,4.7,5.8,5.4,0,1,0
70.8,68.3,0,6.8,7.5,6.9,0,3,1
57.3,59.6,1,5.9,6.6,5.3,1,0,1
75.7,74.3,2,7.1,8.2,6.8,1,2,1
59.0,65.8,0,7.2,6.9,5.2,1,6,1
88.6,89.9,2,8.0,8.3,10.0,1,7,1
60.6,58.5,0,5.9,7.4,4.6,1,3,1
66.1,66.5,2,6.2,6.8,6.0,0,3,1
79.8,83.8,2,9.4,10.0,7.7,1,3,1
55.2,54.4,0,5.7,4.8,6.3,1,1,0
72.7,70.6,0,8.3,9.0,6.8,0,3,0
85.7,88.9,1,7.1,8.8,10.0,1,4,1
50.7,53.9,1,5.3,4.4,4.7,0,4,0
72.2,71.7,1,8.1,6.7,7.4,1,1,1
73.1,72.8,1,7.4,7.0,6.4,1,3,0
79.4,82.5,1,9.0,8.4,10.0,1,0,1
55.2,49.9,0,5.0,6.0,3.8,1,2,0
54.2,49.1,1,6.8,4.8,5.2,1,4,0
76.3,74.7,0,9.9,7.6,8.1,1,6,1
73.6,74.5,2,7.0,9.5,7.9,1,3,0
73.0,76.6,1,6.9,9.0,7.5,0,2,1
74.2,83.5,0,8.9,7.9,8.2,1,4,1
61.8,68.1,0,7.8,6.2,6.9,0,2,1
72.8,74.0,0,6.8,7.4,7.3,1,4,1
73.5,75.4,2,6.9,8.0,8.5,1,2,1
61.4,58.4,1,5.9,5.1,8.1,1,6,1
92.4,94.3,0,7.9,9.0,8.9,0,2,0
75.7,76.2,1,6.6,5.9,6.3,0,0,1
55.7,59.3,1,4.6,6.0,5.8,1,5,0
77.9,75.7,3,7.0,8.4,10.0,0,3,0
58.3,62.9,2,5.8,5.3,5.5,0,2,0
79.4,89.1,1,8.2,9.5,10.0,0,5,0
83.9,85.4,0,9.9,7.2,10.0,1,4,1
60.2,64.2,3,5.0,4.6,5.9,1,4,0
81.6,87.0,0,9.1,8.4,9.3,0,7,1
75.0,74.9,2,7.3,8.5,9.1,0,2,1
79.9,83.0,2,7.9,9.7,7.9,0,2,1
92.8,94.8,1,10.0,8.8,9.3,1,5,1
67.1,69.5,0,5.6,7.8,6.4,1,4,1
61.0,59.1,0,6.5,6.1,4.9,0,3,0
59.3,61.4,1,6.1,5.8,5.5,0,2,0
60.2,64.7,0,6.5,6.9,5.2,0,4,1
69.1,78.3,0,7.2,7.6,7.9,1,4,1
74.1,80.9,2,9.9,5.8,7.3,1,5,0
73.3,86.1,0,6.7,8.8,8.8,0,1,1
79.9,78.1,1,7.5,9.4,6.3,0,2,1
70.2,76.5,0,6.4,6.4,8.0,0,1,1
87.4,90.4,1,8.2,9.1,9.9,1,4,1
66.8,79.8,0,6.0,7.2,6.0,0,1,0
100.0,98.0,1,10.0,10.0,10.0,1,3,1
77.5,75.3,1,9.2,7.2,8.8,1,1,1
59.7,58.7,1,5.4,5.3,4.7,0,2,1
57.1,48.5,0,4.9,5.7,6.5,0,5,1
75.8,75.2,1,8.1,8.8,7.9,0,4,0
67.3,65.5,1,6.2,7.3,5.8,1,3,0
78.6,81.3,0,8.5,7.5,8.1,1,3,1
75.7,79.4,0,7.8,8.3,8.5,1,5,1
69.1,80.5,2,5.4,4.1,8.1,1,3,1
59.8,66.6,0,7.5,7.1,7.2,0,2,1
51.8,50.9,1,7.0,3.4,4.2,1,1,0
64.6,62.1,1,5.9,6.1,6.4,1,2,1
80.3,84.7,0,7.6,6.9,7.1,0,1,1
72.6,68.0,0,7.5,6.0,6.7,1,2,1
55.1,66.2,1,5.8,6.7,5.7,1,1,0
72.1,80.0,0,7.9,6.7,7.3,1,3,0
74.6,74.3,1,9.5,7.8,8.7,1,3,1
59.4,52.8,1,5.8,5.9,6.4,1,6,0
71.8,80.6,0,6.4,7.7,8.7,1,5,1
70.7,72.1,1,5.7,7.1,6.1,0,6,1
56.3,64.5,0,4.9,4.3,6.1,0,1,0
